"result1" "result2" "result3" "result4"
02-758-8659" "위도= 37.5243631" "경도= 127.05155990000003"
"38" "매장명= 삼성도심공항" "주소와 전화번호= 서울특별시 강남구 테헤란로87길 33 (삼성동)
02-758-8635" "위도= 37.5097863" "경도= 127.05791339999996"
"39" "매장명= 삼성교" "주소와 전화번호= 서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 (대치동)
02-758-8592" "위도= 37.507794" "경도= 127.06517"
"40" "매장명= 학동역" "주소와 전화번호= 서울특별시 강남구 논현로 704 (논현동)
02-758-8101" "위도= 37.51464884" "경도= 127.0307302"
"41" "매장명= 대치" "주소와 전화번호= 서울특별시 강남구 도곡로 511 (대치동)
02-758-8063" "위도= 37.49966175" "경도= 127.0622171"
"42" "매장명= 기술센터" "주소와 전화번호= 서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)
02-6009-3410" "위도= 37.50329211" "경도= 127.0436409"
"43" "매장명= SSG마켓도곡R" "주소와 전화번호= 서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)
02-2191-1219" "위도= 37.490298" "경도= 127.054895"
"44" "매장명= 삼성" "주소와 전화번호= 서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)
02-758-8038" "위도= 37.50703529" "경도= 127.0555503"
"45" "매장명= 선릉세화빌딩" "주소와 전화번호= 서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동)
02-758-8028" "위도= 37.50377562" "경도= 127.051196"
"46" "매장명= 압구정역" "주소와 전화번호= 서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)
02-758-8013" "위도= 37.52674095" "경도= 127.0281105"
"47" "매장명= 압구정로" "주소와 전화번호= 서울특별시 강남구 압구정로42길 32 (신사동)
02-758-8231" "위도= 37.52680046" "경도= 127.0347174"
"48" "매장명= 구역삼사거리" "주소와 전화번호= 서울특별시 강남구 논현로 401 (역삼동)
02-758-8247" "위도= 37.49592355" "경도= 127.0388645"
"49" "매장명= 큰길타워" "주소와 전화번호= 서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)
02-758-8116" "위도= 37.50236693" "경도= 127.0407"
"50" "매장명= 강남구청역" "주소와 전화번호= 서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)
02-758-8119" "위도= 37.5165849" "경도= 127.04124330000002"
"51" "매장명= 대치역" "주소와 전화번호= 서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)
02-758-8120" "위도= 37.493554" "경도= 127.061874"
"52" "매장명= 포이" "주소와 전화번호= 서울특별시 강남구 논현로 88 (개포동)
02-758-8122" "위도= 37.47781106" "경도= 127.0451411"
"53" "매장명= 아크플레이스" "주소와 전화번호= 서울특별시 강남구 테헤란로 142 (역삼동)
02-758-8158" "위도= 37.49971982" "경도= 127.0349084"
"54" "매장명= 학여울역" "주소와 전화번호= 서울특별시 강남구 영동대로 215 (대치동)
02-758-8151" "위도= 37.49803646" "경도= 127.0684943"
"55" "매장명= 선정릉역" "주소와 전화번호= 서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩
02-758-8970" "위도= 37.51075489999999" "경도= 127.04455970000003"
"56" "매장명= 삼성현대힐" "주소와 전화번호= 서울특별시 강남구 삼성로 605 (삼성동)
02-758-8278" "위도= 37.51354184" "경도= 127.0527183"
"57" "매장명= GS타워" "주소와 전화번호= 서울특별시 강남구 논현로 508 (역삼동)
02-758-8129" "위도= 37.5018592" "경도= 127.03727759999992"
"58" "매장명= 압구정미소" "주소와 전화번호= 서울특별시 강남구 논현로 841 (신사동)
02-758-8109" "위도= 37.52405601" "경도= 127.027915"
"59" "매장명= 선릉역" "주소와 전화번호= 서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)
02-758-8108" "위도= 37.50393894" "경도= 127.0485135"
"60" "매장명= 수서" "주소와 전화번호= 서울특별시 강남구 밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층
02-758-8165" "위도= 37.48801132" "경도= 127.1017508"
"61" "매장명= 코엑스사거리" "주소와 전화번호= 서울특별시 강남구 영동대로 616 (삼성동)
02-758-8478" "위도= 37.515351" "경도= 127.060109"
"62" "매장명= 역삼럭키" "주소와 전화번호= 서울특별시 강남구 도곡로 183 (역삼동)
02-758-8463" "위도= 37.492209" "경도= 127.039389"
"63" "매장명= 차병원사거리" "주소와 전화번호= 서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)
02-758-8444" "위도= 37.508032" "경도= 127.035373"
"64" "매장명= 청담공원" "주소와 전화번호= 서울특별시 강남구 학동로 506 (삼성동)
02-758-8394" "위도= 37.5186549" "경도= 127.05143870000006"
"65" "매장명= 신압구정" "주소와 전화번호= 서울특별시 강남구 언주로174길 29 (신사동)
02-758-8398" "위도= 37.528115" "경도= 127.036441"
"66" "매장명= 아크로힐스논현" "주소와 전화번호= 서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)
02-758-8317" "위도= 37.50898041" "경도= 127.0403869"
"67" "매장명= 뱅뱅사거리" "주소와 전화번호= 서울특별시 강남구 강남대로 282 (도곡동)
02-758-8325" "위도= 37.488585" "경도= 127.032415"
"68" "매장명= 강남비젼타워" "주소와 전화번호= 서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)
02-758-8492" "위도= 37.4964557" "경도= 127.02968850000002"
"69" "매장명= 역삼역" "주소와 전화번호= 서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)
02-758-8314" "위도= 37.50080096" "경도= 127.0351577"
"70" "매장명= 압구정로데오역" "주소와 전화번호= 서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)
02-758-8345" "위도= 37.526549" "경도= 127.040437"
"71" "매장명= 르네상스사거리" "주소와 전화번호= 서울특별시 강남구 테헤란로 306 (역삼동)
02-758-8321" "위도= 37.502721" "경도= 127.044308"
"72" "매장명= 포스코" "주소와 전화번호= 서울특별시 강남구 삼성로86길 7, 1층 (대치동)
02-758-8331" "위도= 37.50576" "경도= 127.057966"
"73" "매장명= 선릉로" "주소와 전화번호= 서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)
02-758-8552" "위도= 37.505053" "경도= 127.046577"
"74" "매장명= 삼성역" "주소와 전화번호= 서울특별시 강남구 테헤란로103길 9 (삼성동)
02-758-8585" "위도= 37.510015" "경도= 127.063864"
"75" "매장명= 논현힐탑" "주소와 전화번호= 서울특별시 강남구 논현로 648 (논현동)
02-758-8426" "위도= 37.5115577" "경도= 127.03226199999994"
"76" "매장명= 도산가로수길" "주소와 전화번호= 서울특별시 강남구 도산대로 134, 2층 (논현동)
02-758-8429" "위도= 37.51736229999999" "경도= 127.02329570000006"
"77" "매장명= 미아뉴타운" "주소와 전화번호= 서울특별시 강북구 삼양로 161 (미아동)
02-980-3341" "위도= 37.618319" "경도= 127.021072"
"78" "매장명= 강북구청사거리" "주소와 전화번호= 서울특별시 강북구 도봉로 365 (수유동)
02-758-8944" "위도= 37.6400354" "경도= 127.0273766"
"79" "매장명= 미아사거리역" "주소와 전화번호= 서울특별시 강북구 도봉로 32 (미아동)
02-758-8859" "위도= 37.611809" "경도= 127.0306971"
"80" "매장명= 수유역" "주소와 전화번호= 서울특별시 강북구 도봉로 342 (번동)
02-758-8104" "위도= 37.6380167" "경도= 127.02613500000007"
"81" "매장명= 미아역" "주소와 전화번호= 서울특별시 강북구 도봉로 196 (미아동)
02-758-8500" "위도= 37.626148" "경도= 127.026578"
"82" "매장명= 발산역사거리" "주소와 전화번호= 서울특별시 강서구 공항대로 248 (마곡동)
02-2661-3792" "위도= 37.558597" "경도=  126.835359"
"83" "매장명= 우장산역" "주소와 전화번호= 서울특별시 강서구 강서로 267 (내발산동)
02-2664-2624" "위도= 37.549501" "경도= 126.835984"
"84" "매장명= 마곡사이언스타워R" "주소와 전화번호= 서울특별시 강서구 마곡동로 62 (마곡동)
02-2659-3585" "위도= 37.561492" "경도= 126.833954"
"85" "매장명= 방화DT" "주소와 전화번호= 서울특별시 강서구 방화대로 375 (방화동)
02-2664-3480" "위도= 37.574339" "경도= 126.816415"
"86" "매장명= 마곡나루역" "주소와 전화번호= 서울특별시 강서구 마곡중앙로 161-17 (마곡동)
02-3662-3504" "위도= 37.56813" "경도= 126.82614"
"87" "매장명= 마곡GMG" "주소와 전화번호= 서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호
02-2659-3404" "위도= 37.560487" "경도= 126.829667"
"88" "매장명= 가양역" "주소와 전화번호= 서울특별시 강서구 양천로 476 (등촌동)
02-3661-3418" "위도= 37.561640" "경도= 126.853327"
"89" "매장명= 화곡DT" "주소와 전화번호= 서울특별시 강서구 등촌로 57 (화곡동)
02-2648-3257" "위도= 37.535149" "경도= 126.863232"
"90" "매장명= 양천향교역" "주소와 전화번호= 서울특별시 강서구 강서로 463 (마곡동)
02-2658-3312" "위도= 37.566964" "경도= 126.840731"
"91" "매장명= 화곡동" "주소와 전화번호= 서울특별시 강서구 화곡로 142(화곡동)
02-758-8881" "위도= 37.5405115" "경도= 126.8372413"
"92" "매장명= 등촌" "주소와 전화번호= 서울특별시 강서구 공항대로 329 (등촌동)
02-758-8883" "위도= 37.5582043" "경도= 126.84433919999992"
"93" "매장명= 염창역" "주소와 전화번호= 서울특별시 강서구 공항대로 627 (염창동)
02-758-8694" "위도= 37.547359" "경도= 126.874436"
"94" "매장명= 발산역" "주소와 전화번호= 서울특별시 강서구 강서로 388 (등촌동) 그랜드마트
02-758-8720" "위도= 37.56033" "경도= 126.839279"
"95" "매장명= 가양이마트" "주소와 전화번호= 서울특별시 강서구 양천로 559, 가양이마트 1층 (가양동)
02-758-8070" "위도= 37.5578966" "경도= 126.86229779999996"
"96" "매장명= 까치산역" "주소와 전화번호= 서울특별시 강서구 강서로13길 3 (화곡동)
02-758-8538" "위도= 37.532303" "경도= 126.846077"
"97" "매장명= 낙성대역" "주소와 전화번호= 서울특별시 관악구 남부순환로 1908 (봉천동)
02-882-3794" "위도= 37.477980" "경도= 126.961246"
"98" "매장명= 관악서울대입구R" "주소와 전화번호= 서울특별시 관악구 관악로 158 (봉천동)
02-883-3725" "위도= 37.479343" "경도= 126.952780"
"99" "매장명= 신림DT" "주소와 전화번호= 서울특별시 관악구 남부순환로 1419 (신림동)
02-851-3283" "위도= 37.480935" "경도= 126.908407"
"100" "매장명= 서울대역" "주소와 전화번호= 서울특별시 관악구 남부순환로 1817 (봉천동)
02-876-3252" "위도= 37.481599" "경도= 126.952200"
"101" "매장명= 낙성대DT" "주소와 전화번호= 서울특별시 관악구 남부순환로 1948 (봉천동)
02-872-3249" "위도= 37.476169" "경도= 126.965005"
"102" "매장명= 사당" "주소와 전화번호= 서울특별시 관악구 남부순환로 2082-25
02-758-8721" "위도= 37.47601" "경도= 126.980997"
"103" "매장명= 보라매대교" "주소와 전화번호= 서울특별시 관악구 보라매로3길 23, 대교빌딩 1층 (봉천동)
02-758-8629" "위도= 37.491449" "경도= 126.925432"
"104" "매장명= 신림사거리" "주소와 전화번호= 서울특별시 관악구 남부순환로 1619 (신림동)
02-758-8645" "위도= 37.484768" "경도= 126.930467"
"105" "매장명= 신림" "주소와 전화번호= 서울특별시 관악구 신림로 355-1 (신림동)
02-758-8290" "위도= 37.48609493" "경도= 126.9291602"
"106" "매장명= 신림역포도몰" "주소와 전화번호= 서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)
02-758-8286" "위도= 37.48385383" "경도= 126.9301799"
"107" "매장명= 서울대입구역" "주소와 전화번호= 서울특별시 관악구 남부순환로 1812 (봉천동)
02-758-8460" "위도= 37.48118" "경도= 126.951324"
"108" "매장명= 건국대" "주소와 전화번호= 서울특별시 광진구 능동로 117 (화양동)
02-3409-3722" "위도= 37.5415592" "경도= 127.0711244"
"109" "매장명= 어린이대공원역" "주소와 전화번호= 서울시 광진구 능동로243
02-464-3656" "위도= 37.551946" "경도= 127.076404"
"110" "매장명= 아차산역" "주소와 전화번호= 서울시 광진구 천호대로 676
02-455-3637" "위도= 37.5505388" "경도= 127.0898757"
"111" "매장명= 올림픽대교북단" "주소와 전화번호= 서울특별시 광진구 광나루로 608 (구의동)
02-453-3514" "위도= 37.541129" "경도= 127.095240"
"112" "매장명= 구의DT" "주소와 전화번호= 서울특별시 광진구 광나루로 519 (구의동)
02-758-8901" "위도= 37.5451984" "경도= 127.0871587"
"113" "매장명= 자양사거리" "주소와 전화번호= 서울특별시 광진구 아차산로 355
02-758-8865" "위도= 37.5371158" "경도= 127.0825821"
"114" "매장명= 군자역" "주소와 전화번호= 서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩
02-758-8748" "위도= 37.556703" "경도= 127.078916"
"115" "매장명= 광나루" "주소와 전화번호= 서울특별시 광진구 아차산로 607, 1,2층 (광장동)
02-758-8648" "위도= 37.547442" "경도= 127.105934"
"116" "매장명= 건대스타시티" "주소와 전화번호= 서울특별시 광진구 아차산로 262 (자양동)
02-758-8197" "위도= 37.53780432" "경도= 127.0725451"
"117" "매장명= 자양" "주소와 전화번호= 서울특별시 광진구 능동로 50 (자양동)
02-758-8159" "위도= 37.5354769" "경도= 127.06914619999998"
"118" "매장명= 강변역" "주소와 전화번호= 서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버
02-758-8759" "위도= 37.536155" "경도= 127.093086"
"119" "매장명= 건대입구" "주소와 전화번호= 서울특별시 광진구 능동로 107 (화양동)
02-758-8305" "위도= 37.5406604" "경도= 127.07072249999999"
"120" "매장명= 구의역" "주소와 전화번호= 서울특별시 광진구 아차산로 373 (구의동)
02-758-8476" "위도= 37.53698" "경도= 127.084015"
"121" "매장명= 광장" "주소와 전화번호= 서울특별시 광진구 아차산로 537-17 (광장동)
02-758-8508" "위도= 37.542857" "경도= 127.099789"
"122" "매장명= 건국클래식" "주소와 전화번호= 서울특별시 광진구 능동로 90 (자양동) 더 클래식500
02-758-8519" "위도= 37.53838" "경도= 127.070709"
"123" "매장명= 가산에스케이" "주소와 전화번호= 서울특별시 금천구 가산디지털1로 171 (가산동)
02-6244-8046" "위도= 37.48061318" "경도= 126.8805702"
"124" "매장명= 독산사거리" "주소와 전화번호= 서울특별시 금천구 시흥대로 426 (독산동)
02-838-3444" "위도= 37.471511" "경도= 126.898775"
"125" "매장명= 금천시흥" "주소와 전화번호= 서울특별시 금천구 시흥대로 164 (시흥동)
02-805-3360" "위도= 37.448624" "경도= 126.903183"
"126" "매장명= 가산디지털단지역" "주소와 전화번호= 서울특별시 금천구 벚꽃로 298 (가산동)
02-2083-8302" "위도= 37.481324" "경도= 126.883779"
"127" "매장명= 금천독산" "주소와 전화번호= 서울특별시 금천구 두산로 70 (독산동)
02-758-8765" "위도= 37.46914" "경도= 126.895246"
"128" "매장명= 가산디지털" "주소와 전화번호= 서울특별시 금천구 가산디지털1로 168 (가산동)
02-758-8147" "위도= 37.4798346" "경도= 126.88249969999992"
"129" "매장명= W-Mall" "주소와 전화번호= 서울특별시 금천구 디지털로 188 (가산동)
02-758-8196" "위도= 37.47730499" "경도= 126.8876908"
"130" "매장명= 마리오아울렛" "주소와 전화번호= 서울특별시 금천구 벚꽃로 266 마리오아울렛3관
02-758-8542" "위도= 37.478701" "경도= 126.885076"
"131" "매장명= 가산브이타워" "주소와 전화번호= 서울특별시 금천구 가산디지털1로 128 (가산동)
02-758-8371" "위도= 37.477221" "경도= 126.883683"
"132" "매장명= 가산그레이트" "주소와 전화번호= 서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)
02-758-8346" "위도= 37.4794491" "경도= 126.88747680000006"
"133" "매장명= 월계트레이더스" "주소와 전화번호= 서울시 노원구 마들로3길 15
02-971-3748" "위도= 37.6277053" "경도= 127.06149779999998"
"134" "매장명= 상계초교사거리" "주소와 전화번호= 서울 노원구 노원로 449
02-931-3660" "위도= 37.656776" "경도= 127.066442 "
"135" "매장명= 공릉DT" "주소와 전화번호= 서울특별시 노원구 동일로 1015 (공릉동)
02-971-3457" "위도= 37.6206884" "경도= 127.0743116"
"136" "매장명= 노원마들역" "주소와 전화번호= 서울특별시 노원구 노원로 569 (상계동, 임광아파트)
02-934-3438" "위도= 37.660941" "경도= 127.058008"
"137" "매장명= 공릉역" "주소와 전화번호= 서울특별시 노원구 동일로 1081 (공릉동)
02-972-3380" "위도= 37.626337" "경도= 127.072252"
"138" "매장명= 서울여대" "주소와 전화번호= 서울특별시 노원구 화랑로 621 (공릉동)
02-758-8647" "위도= 37.626163" "경도= 127.093084"
"139" "매장명= 은행사거리" "주소와 전화번호= 서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)
02-758-8238" "위도= 37.65048737" "경도= 127.0759861"
"140" "매장명= 노원KT" "주소와 전화번호= 서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)
02-758-8523" "위도= 37.654562" "경도= 127.063617"
"141" "매장명= 광운대" "주소와 전화번호= 서울특별시 노원구 석계로 104 (월계동)
02-758-8485" "위도= 37.6231479" "경도= 127.06070090000003"
"142" "매장명= 중계역" "주소와 전화번호= 서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)
02-758-8567" "위도= 37.64817" "경도= 127.062244"
"143" "매장명= 노원역" "주소와 전화번호= 서울특별시 노원구 동일로 1413, 1층 (상계동)
02-758-8584" "위도= 37.654751" "경도= 127.060034"
"144" "매장명= 월계이마트" "주소와 전화번호= 서울특별시 노원구 마들로3길 15 (월계동)
02-758-8573" "위도= 37.627155" "경도= 127.062094"
"145" "매장명= 창동이마트" "주소와 전화번호= 서울특별시 도봉구 노해로65길 4 (창동)
02-903-3791" "위도= 37.651645" "경도= 127.046869"
"146" "매장명= 쌍문역" "주소와 전화번호= 서울특별시 도봉구 도봉로 480 (창동)
02-758-8691" "위도= 37.648456" "경도= 127.034783"
"147" "매장명= 노량진동" "주소와 전화번호= 서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호
02-3280-3816" "위도= 37.513068" "경도= 126.946537"
"148" "매장명= 남성역" "주소와 전화번호= 서울특별시 동작구 사당로 219 (사당동)
02-533-3783" "위도= 37.4841198" "경도= 126.9725739"
"149" "매장명= 보라매공원R" "주소와 전화번호= 서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)
02-832-3693" "위도= 37.49226212712864" "경도= 126.92334570798292"
"150" "매장명= 이수자이" "주소와 전화번호= 서울특별시 동작구 사당로 300 (사당동 이수자이)
02-588-3657" "위도= 37.484414" "경도= 126.980047"
"151" "매장명= 노량진역" "주소와 전화번호= 서울특별시 동작구 노량진로 134 (노량진동)
02-816-3581" "위도= 37.513390" "경도= 126.940879"
"152" "매장명= 신대방삼거리역" "주소와 전화번호= 서울특별시 동작구 상도로 102 (상도동)
02-813-3501" "위도= 37.499914" "경도= 126.931766"
"153" "매장명= 중앙대" "주소와 전화번호= 서울특별시 동작구 흑석로 75-1 (흑석동)
02-812-3250" "위도= 37.506933" "경도= 126.958125"
"154" "매장명= 숭실대입구역" "주소와 전화번호= 서울특별시 동작구 상도로 354 (상도동)
02-815-3205" "위도= 37.4968346" "경도= 126.95271230000003"
"155" "매장명= 숭실대" "주소와 전화번호= 서울특별시 동작구 사당로 4 (상도동)
02-758-8153" "위도= 37.49538073" "경도= 126.9548891"
"156" "매장명= 사당역" "주소와 전화번호= 서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)
02-758-8311" "위도= 37.47849216" "경도= 126.9813456"
"157" "매장명= 서강대프라자" "주소와 전화번호= 서울특별시 마포구 백범로 35 (신수동)
02-702-3804" "위도= 37.551073" "경도= 126.943096"
"158" "매장명= 상암YTN" "주소와 전화번호= 서울특별시 마포구 상암산로 76 (상암동)
02-304-3752" "위도= 37.579183" "경도= 126.892315"
"159" "매장명= 마포용강동" "주소와 전화번호= 서울특별시 마포구 토정로 295 (용강동)
02-3275-3655" "위도= 37.541186" "경도= 126.942209"
"160" "매장명= 홍대입구역사거리R" "주소와 전화번호= 서울특별시 마포구 양화로 125 (서교동)
02-325-3531" "위도= 37.554636" "경도= 126.92036"
"161" "매장명= 마포경찰서후문" "주소와 전화번호= 서울특별시 마포구 마포대로 173-14 (아현동)
02-392-3555" "위도= 37.550800" "경도= 126.953432"
"162" "매장명= 공덕" "주소와 전화번호= 서울특별시 마포구 마포대로 130 (공덕동)
02-716-3426" "위도= 37.545913" "경도= 126.952956"
"163" "매장명= 합정폴리스R" "주소와 전화번호= 서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)
02-324-3587" "위도= 37.5509" "경도= 126.9134"
"164" "매장명= 홍대공항철도역" "주소와 전화번호= 서울특별시 마포구 양화로 178 (동교동)
02-332-3516" "위도= 37.557491" "경도= 126.925146"
"165" "매장명= 마포염리" "주소와 전화번호= 서울특별시 마포구 독막로 311 (염리동)
02-3272-3331" "위도= 37.543876" "경도= 126.947680"
"166" "매장명= 서강광흥창역" "주소와 전화번호= 서울특별시 마포구 서강로 69 (창전동)
02-325-3351" "위도= 37.549377" "경도= 126.931661"
"167" "매장명= 합정" "주소와 전화번호= 서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2
02-323-3214" "위도= 37.549630" "경도= 126.912999"
"168" "매장명= 서강대흥역" "주소와 전화번호= 서울특별시 마포구 백범로 89-5 (대흥동)
02-3272-3335" "위도= 37.548178" "경도= 126.941576"
"169" "매장명= 서교동사거리" "주소와 전화번호= 서울특별시 마포구 양화로 105 (서교동)
02-326-5218" "위도= 37.553376" "경도= 126.918564"
