기간	자치구	성별	합계	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택이외의 거처
2017	은평구	남자	20,727	17,793	8,130	2,703	299	6,110	551	2,934
2017	은평구	여자	25,808	22,822	9,185	4,284	552	8,329	472	2,986
2017	서대문구	계	43,418	39,036	21,588	7,917	1,006	7,135	1,390	4,382
2017	서대문구	남자	18,891	16,856	9,866	2,904	383	3,054	649	2,035
2017	서대문구	여자	24,527	22,180	11,722	5,013	623	4,081	741	2,347
2017	마포구	계	54,162	45,536	20,949	10,832	648	11,287	1,820	8,626
2017	마포구	남자	24,036	20,177	10,072	4,151	261	4,744	949	3,859
2017	마포구	여자	30,126	25,359	10,877	6,681	387	6,543	871	4,767
2017	양천구	계	33,088	30,287	12,439	8,770	640	7,865	573	2,801
2017	양천구	남자	15,252	13,764	6,580	3,223	250	3,421	290	1,488
2017	양천구	여자	17,836	16,523	5,859	5,547	390	4,444	283	1,313
2017	강서구	계	68,237	50,204	15,992	19,968	799	12,569	876	18,033
2017	강서구	남자	31,534	23,120	8,371	8,158	311	5,788	492	8,414
2017	강서구	여자	36,703	27,084	7,621	11,810	488	6,781	384	9,619
2017	구로구	계	42,984	31,549	14,533	10,017	1,155	4,905	939	11,435
2017	구로구	남자	21,366	15,171	7,840	4,032	462	2,314	523	6,195
2017	구로구	여자	21,618	16,378	6,693	5,985	693	2,591	416	5,240
2017	금천구	계	32,928	25,611	14,950	4,891	633	4,079	1,058	7,317
2017	금천구	남자	18,305	13,602	8,356	2,260	268	2,030	688	4,703
2017	금천구	여자	14,623	12,009	6,594	2,631	365	2,049	370	2,614
2017	영등포구	계	51,151	35,236	18,612	10,650	315	4,100	1,559	15,915
2017	영등포구	남자	25,953	17,269	9,599	4,573	123	2,137	837	8,684
2017	영등포구	여자	25,198	17,967	9,013	6,077	192	1,963	722	7,231
2017	동작구	계	54,355	50,513	30,453	8,778	761	8,466	2,055	3,842
2017	동작구	남자	26,389	24,092	15,623	3,294	332	3,773	1,070	2,297
2017	동작구	여자	27,966	26,421	14,830	5,484	429	4,693	985	1,545
2017	관악구	계	106,865	88,407	56,635	10,990	1,062	10,879	8,841	18,458
2017	관악구	남자	57,078	47,237	31,624	4,636	470	5,251	5,256	9,841
2017	관악구	여자	49,787	41,170	25,011	6,354	592	5,628	3,585	8,617
2017	서초구	계	39,702	34,243	13,538	10,883	689	7,639	1,494	5,459
2017	서초구	남자	17,483	14,543	6,259	3,974	267	3,265	778	2,940
2017	서초구	여자	22,219	19,700	7,279	6,909	422	4,374	716	2,519
2017	강남구	계	62,774	53,464	19,259	19,654	1,074	11,334	2,143	9,310
2017	강남구	남자	26,515	21,703	8,487	7,204	432	4,553	1,027	4,812
2017	강남구	여자	36,259	31,761	10,772	12,450	642	6,781	1,116	4,498
2017	송파구	계	58,848	49,702	16,214	12,221	631	18,785	1,851	9,146
2017	송파구	남자	26,901	22,095	8,253	4,391	233	8,229	989	4,806
2017	송파구	여자	31,947	27,607	7,961	7,830	398	10,556	862	4,340
2017	강동구	계	41,050	35,917	18,563	8,415	369	7,266	1,304	5,133
2017	강동구	남자	20,064	17,173	9,735	3,300	143	3,244	751	2,891
2017	강동구	여자	20,986	18,744	8,828	5,115	226	4,022	553	2,242
