기간	자치구	성별	합계	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택이외의 거처
2010	영등포구	여자	16,609	13,558	8,904	3,591	227	566	270	3,051
2010	동작구	계	40,256	35,997	26,343	5,045	735	2,705	1,169	4,259
2010	동작구	남자	20,383	17,864	13,578	1,987	342	1,247	710	2,519
2010	동작구	여자	19,873	18,133	12,765	3,058	393	1,458	459	1,740
2010	관악구	계	84,423	69,132	56,278	5,996	1,305	3,082	2,471	15,291
2010	관악구	남자	46,540	37,617	31,471	2,540	555	1,443	1,608	8,923
2010	관악구	여자	37,883	31,515	24,807	3,456	750	1,639	863	6,368
2010	서초구	계	29,188	26,109	12,370	9,205	736	2,856	942	3,079
2010	서초구	남자	12,682	11,131	5,688	3,315	323	1,244	561	1,551
2010	서초구	여자	16,506	14,978	6,682	5,890	413	1,612	381	1,528
2010	강남구	계	59,528	53,253	27,496	18,317	895	5,558	987	6,275
2010	강남구	남자	24,010	21,108	11,658	6,471	378	2,105	496	2,902
2010	강남구	여자	35,518	32,145	15,838	11,846	517	3,453	491	3,373
2010	송파구	계	42,222	40,542	17,750	10,681	639	10,548	924	1,680
2010	송파구	남자	18,658	17,805	8,692	3,952	278	4,385	498	853
2010	송파구	여자	23,564	22,737	9,058	6,729	361	6,163	426	827
2010	강동구	계	31,719	29,457	19,368	7,107	415	1,878	689	2,262
2010	강동구	남자	14,886	13,781	9,693	2,769	175	776	368	1,105
2010	강동구	여자	16,833	15,676	9,675	4,338	240	1,102	321	1,157
